FSA,LATITUDE,LONGITUDE
K0A,45.2701014628169,-75.69670477140845
K0B,45.51097768421052,-74.70650942105263
K0C,45.151281547450985,-74.88922847764705
K0E,44.72390148147059,-75.70432473558824
K0G,44.86603243653846,-76.02049922269231
K0H,44.5959838,-76.73916760385966
K0J,45.631418372115384,-77.34332283923077
K0K,44.19465558089888,-77.44646886516854
K0L,44.57271996102273,-78.1423257234091
K0M,44.74990562477273,-78.72902952477273
K1A,45.40993030529802,-75.69696086490066
K1B,45.422807281059065,-75.59398767189408
K1C,45.464610714737375,-75.53096254858586
K1E,45.473497797996,-75.50551125571143
K1G,45.39432596075607,-75.6347363488749
K1H,45.38790708190045,-75.65845397948718
K1J,45.44477675887446,-75.60833452092352
K1K,45.43781436361556,-75.64708411441649
K1L,45.4383886904376,-75.66154681993517
K1M,45.44558340490654,-75.67976239158878
K1N,45.42448047219251,-75.68778566751337
K1P,45.39132204429224,-75.74133376666667
K1R,45.41094081024209,-75.70620414078212
K1S,45.39994461637427,-75.68970085760233
K1T,45.34676079493724,-75.62764992062762
K1V,45.350021469801554,-75.67066656660914
K1W,45.436006578064514,-75.5266594483871
K1X,45.292720017293234,-75.64178899398496
K1Y,45.398121542315785,-75.73118202472514
K1Z,45.385825413031164,-75.73978134560906
K2A,45.378383113227514,-75.76389005952382
K2B,45.36210165263952,-75.78975957375566
K2C,45.35939252990654,-75.74036239319092
K2E,45.34801812064847,-75.71727450085325
K2G,45.331501488018795,-75.74680208645263
K2H,45.33218252464903,-75.81466315544303
K2J,45.27479923453292,-75.75177440957121
K2K,45.33494581243145,-75.91153780182816
K2L,45.30045552541437,-75.88798586924494
K2M,45.28866562411505,-75.85973260066372
K2P,45.416088223660715,-75.69102977700892
K2R,45.280321509836064,-75.80871025737704
K2S,45.26204531609712,-75.91764820420863
K2T,45.31520089139786,-75.92670101559139
K2V,45.28770667405063,-75.89968757088607
K2W,45.36175368870968,-75.96885054516129
K4A,45.46972015,-75.47822106443965
K4B,45.40512402071428,-75.38267070357143
K4C,45.49464244375,-75.3930808109375
K4K,45.543653389090906,-75.29740489662338
K4M,45.22555986525821,-75.67592096244131
K4P,45.25236534528302,-75.57239366100629
K4R,45.253012981666664,-75.37720955333333
K6A,45.604007578435116,-74.60327959572518
K6H,45.028115738461544,-74.71467287508362
K6J,45.0233554585698,-74.74927519148696
K6K,45.06026468192771,-74.76794816566266
K6T,44.6062797,-75.76344905882354
K6V,44.59597488254799,-75.69378402408377
K7A,44.899198698156916,-76.0169865686426
K7C,45.14096372974588,-76.16838428165184
K7G,44.330175977578946,-76.16457540210527
K7H,44.90919785084428,-76.23993714896811
K7K,44.24788710127878,-76.48518116581415
K7L,44.231782577399755,-76.49586155176185
K7M,44.23816197559682,-76.55841193129973
K7N,44.22302698976744,-76.64660117767441
K7P,44.262156505858584,-76.56786179919192
K7R,44.2467839242807,-76.95504386754385
K7S,45.43417712407733,-76.35742196362038
K7V,45.46935768698413,-76.68790730111111
K8A,45.8126900618272,-77.12360876628895
K8B,45.806870509999996,-77.088715685
