YEAR,MONTH,DAY,HOUR,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),WIND CHILL CALCULATION
2018,1,1,1,-23.8,-25.5,86.0,11.0,-31.99447650891157
2018,1,1,2,-22.8,-24.6,85.0,11.0,-30.80005284077663
2018,1,1,3,-22.8,-24.6,86.0,12.0,-31.21999812273969
2018,1,1,4,-23.4,-25.1,86.0,11.0,-31.516707041657597
2018,1,1,5,-21.9,-23.8,85.0,7.0,-27.67180680299372
2018,1,1,6,-20.7,-22.8,84.0,7.0,-26.28721561614143
2018,1,1,7,-21.1,-22.9,85.0,9.0,-27.854290807180945
2018,1,1,8,-20.8,-22.6,85.0,12.0,-28.814834601003867
2018,1,1,9,-20.0,-22.0,84.0,15.0,-28.896783616344905
2018,1,1,10,-17.8,-19.9,84.0,17.0,-26.778825133302774
2018,1,1,11,-15.2,-17.4,84.0,17.0,-23.56418500838638
2018,1,1,12,-13.1,-16.3,77.0,22.0,-22.06543971072768
2018,1,1,13,-11.7,-17.1,65.0,28.0,-21.33042623255841
2018,1,1,14,-11.5,-16.9,65.0,26.0,-20.752762990345573
2018,1,1,15,-12.0,-16.2,71.0,25.0,-21.2229851737288
2018,1,1,16,-11.7,-15.5,74.0,35.0,-22.32215071928864
2018,1,1,17,-11.2,-14.7,76.0,28.0,-20.686299348039668
2018,1,1,18,-11.4,-14.8,76.0,31.0,-21.388588467476023
2018,1,1,19,-12.2,-14.8,81.0,26.0,-21.648964931240464
2018,1,1,20,-12.2,-14.6,82.0,21.0,-20.73195132205532
2018,1,1,21,-12.1,-14.5,82.0,22.0,-20.8027638809807
2018,1,1,22,-12.0,-14.4,82.0,21.0,-20.480380441042502
2018,1,1,23,-12.3,-14.3,85.0,19.0,-20.43765231512362
2018,1,1,24,-12.1,-14.3,84.0,17.0,-19.731344859447606
2018,1,2,1,-11.8,-14.3,81.0,24.0,-20.79289634138888
2018,1,2,2,-11.5,-14.6,78.0,28.0,-21.072775478750916
2018,1,2,3,-11.6,-14.8,77.0,34.0,-22.06035302823648
2018,1,2,4,-11.6,-14.9,76.0,28.0,-21.201600855654657
2018,1,2,5,-11.7,-15.0,76.0,30.0,-21.633280928686396
2018,1,2,6,-12.0,-15.3,77.0,35.0,-22.71599553381913
2018,1,2,7,-13.1,-16.3,77.0,32.0,-23.74361022604299
2018,1,2,8,-14.0,-17.2,77.0,34.0,-25.203334226131812
2018,1,2,9,-14.5,-17.4,79.0,33.0,-25.714707825740795
2018,1,2,10,-13.8,-16.5,80.0,32.0,-24.655602843728666
2018,1,2,11,-12.0,-14.9,79.0,35.0,-22.71599553381913
2018,1,2,12,-11.1,-14.3,77.0,42.0,-22.359020877630652
2018,1,2,13,-10.6,-14.2,75.0,45.0,-22.00659734280513
2018,1,2,14,-9.4,-13.7,71.0,44.0,-20.29710412147616
2018,1,2,15,-9.1,-13.6,70.0,48.0,-20.28013396780237
2018,1,2,16,-9.1,-13.3,72.0,41.0,-19.58711097672073
2018,1,2,17,-8.7,-13.0,71.0,35.0,-18.38370257398371
2018,1,2,18,-9.3,-12.8,76.0,41.0,-19.853265268168872
2018,1,2,19,-9.6,-12.5,80.0,34.0,-19.44120202999036
2018,1,2,20,-9.8,-12.9,79.0,35.0,-19.827800227262188
2018,1,2,21,-10.2,-13.1,80.0,27.0,-19.24562580430701
2018,1,2,22,-10.6,-13.2,81.0,26.0,-19.600503352052137
2018,1,2,23,-11.2,-13.7,82.0,25.0,-20.20209635322367
2018,1,2,24,-12.1,-14.7,81.0,15.0,-19.226946328227918
2018,1,3,1,-12.8,-15.3,81.0,9.0,-18.093188473043227
