YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
2018,1,1,1,9833.5
2018,1,1,2,9029.6
2018,1,1,3,8400.8
2018,1,1,4,8025.7
2018,1,1,5,7847.6
2018,1,1,6,7955.4
2018,1,1,7,8156.2
2018,1,1,8,8523.2
2018,1,1,9,9210.4
2018,1,1,10,9680.1
2018,1,1,11,9990.4
2018,1,1,12,10386.9
2018,1,1,13,10854.4
2018,1,1,14,11007.7
2018,1,1,15,11144.7
2018,1,1,16,11462.8
2018,1,1,17,12312.7
2018,1,1,18,13871.5
2018,1,1,19,13679.3
2018,1,1,20,13460.0
2018,1,1,21,12952.0
2018,1,1,22,12237.7
2018,1,1,23,10825.7
2018,1,1,24,9256.2
2018,1,2,1,8174.0
2018,1,2,2,7540.3
2018,1,2,3,7306.6
2018,1,2,4,7259.3
2018,1,2,5,7353.4
2018,1,2,6,7788.3
2018,1,2,7,8372.8
2018,1,2,8,8999.6
2018,1,2,9,9274.8
2018,1,2,10,9364.6
2018,1,2,11,9412.0
2018,1,2,12,9570.7
2018,1,2,13,9489.2
2018,1,2,14,9147.2
2018,1,2,15,9165.9
2018,1,2,16,9571.4
2018,1,2,17,10769.0
2018,1,2,18,12807.1
2018,1,2,19,13217.9
2018,1,2,20,13158.2
2018,1,2,21,12939.1
2018,1,2,22,12282.3
2018,1,2,23,11021.0
2018,1,2,24,9347.3
2018,1,3,1,8119.5
2018,1,3,2,7538.2
2018,1,3,3,7299.8
2018,1,3,4,7161.9
2018,1,3,5,7257.5
2018,1,3,6,7624.7
2018,1,3,7,8149.6
2018,1,3,8,8776.8
2018,1,3,9,9075.8
2018,1,3,10,8918.0
2018,1,3,11,8838.0
2018,1,3,12,8850.2
2018,1,3,13,8945.3
2018,1,3,14,8840.4
2018,1,3,15,8938.2
2018,1,3,16,9381.2
2018,1,3,17,10470.8
2018,1,3,18,12537.1
2018,1,3,19,12594.0
2018,1,3,20,12530.9
2018,1,3,21,12317.1
2018,1,3,22,11868.4
2018,1,3,23,10612.2
2018,1,3,24,8916.0
2018,1,4,1,7795.3
2018,1,4,2,7186.7
2018,1,4,3,6909.5
2018,1,4,4,6860.0
2018,1,4,5,6966.9
2018,1,4,6,7341.4
2018,1,4,7,7957.7
2018,1,4,8,8673.6
2018,1,4,9,8950.9
2018,1,4,10,8802.7
2018,1,4,11,8675.6
2018,1,4,12,8749.1
2018,1,4,13,8698.2
2018,1,4,14,8563.2
2018,1,4,15,8711.5
2018,1,4,16,9198.5
2018,1,4,17,10422.6
2018,1,4,18,12675.4
2018,1,4,19,13119.5
2018,1,4,20,13309.8
2018,1,4,21,13070.0
2018,1,4,22,12527.8
2018,1,4,23,11373.5
2018,1,4,24,9639.8
2018,1,5,1,8537.9
2018,1,5,2,7991.7
2018,1,5,3,7798.3
2018,1,5,4,7696.5
2018,1,5,5,7801.4
2018,1,5,6,8188.5
2018,1,5,7,8770.1
2018,1,5,8,9472.1
2018,1,5,9,9766.2
2018,1,5,10,9781.9
2018,1,5,11,9611.5
2018,1,5,12,9587.6
2018,1,5,13,9533.8
2018,1,5,14,9486.5
2018,1,5,15,9583.2
2018,1,5,16,9889.4
2018,1,5,17,11095.9
2018,1,5,18,13183.3
2018,1,5,19,13493.9
2018,1,5,20,13446.9
2018,1,5,21,13170.4
2018,1,5,22,12576.8
2018,1,5,23,11512.3
2018,1,5,24,10130.0
2018,1,6,1,9197.1
2018,1,6,2,8551.3
2018,1,6,3,8244.6
2018,1,6,4,8142.1
2018,1,6,5,8179.6
2018,1,6,6,8356.7
2018,1,6,7,8705.0
2018,1,6,8,9444.6
2018,1,6,9,10325.9
2018,1,6,10,10928.5
2018,1,6,11,11161.7
2018,1,6,12,11341.4
2018,1,6,13,11321.4
2018,1,6,14,11301.9
2018,1,6,15,11280.0
2018,1,6,16,11524.9
2018,1,6,17,12404.1
2018,1,6,18,14369.4
2018,1,6,19,14338.7
2018,1,6,20,13753.5
2018,1,6,21,13290.6
2018,1,6,22,12783.7
2018,1,6,23,11857.8
2018,1,6,24,10444.7
2018,1,7,1,9312.0
2018,1,7,2,8678.5
2018,1,7,3,8260.6
2018,1,7,4,8137.0
2018,1,7,5,8138.1
2018,1,7,6,8281.6
2018,1,7,7,8592.5
2018,1,7,8,9302.8
2018,1,7,9,10235.5
2018,1,7,10,10643.4
2018,1,7,11,10974.2
2018,1,7,12,11502.7
2018,1,7,13,11853.5
2018,1,7,14,11962.8
2018,1,7,15,11859.3
2018,1,7,16,11929.8
2018,1,7,17,12802.2
2018,1,7,18,14713.5
2018,1,7,19,14587.1
2018,1,7,20,14042.8
2018,1,7,21,13308.2
2018,1,7,22,12168.5
2018,1,7,23,10621.7
2018,1,7,24,8911.7
2018,1,8,1,7682.1
2018,1,8,2,7129.3
2018,1,8,3,6805.1
2018,1,8,4,6711.1
2018,1,8,5,6769.4
2018,1,8,6,7281.4
2018,1,8,7,8165.5
2018,1,8,8,9176.9
2018,1,8,9,8911.6
2018,1,8,10,8440.1
2018,1,8,11,8451.4
2018,1,8,12,8466.4
2018,1,8,13,8500.0
2018,1,8,14,8512.6
2018,1,8,15,8559.0
2018,1,8,16,8859.5
2018,1,8,17,10081.9
2018,1,8,18,12017.3
2018,1,8,19,12047.1
2018,1,8,20,11986.1
2018,1,8,21,11647.7
2018,1,8,22,10908.2
2018,1,8,23,9499.2
