FSA,min_consumption,max_consumption,avg_consumption
K0,528.7,1684.7,923.2243279569892
K0A,43878.5,94690.6,68018.69005376344
K0B,11309.2,22765.1,16717.304032258064
K0C,20574.2,44929.6,32469.9313172043
K0E,15456.0,34802.1,25240.63010752688
K0G,17369.0,38448.5,28039.875537634405
K0H,18725.6,42758.6,30683.3813172043
K0J,13195.0,28158.0,20583.617741935483
K0K,49396.99999999999,108576.69999999998,78279.87916666667
K0L,35516.0,76384.3,54928.05779569892
K0M,32598.6,68891.9,49292.020161290326
K1,1057.2,2348.3,1632.8909946236558
K1B,3215.4,8238.7,5297.014784946236
K1C,7700.5,20433.6,12845.386424731185
K1E,2715.7,7425.5,4543.867204301076
K1G,6143.200000000001,14922.9,10099.909139784946
K1H,3819.5,9158.7,6189.104166666667
K1J,4516.2,11845.5,7566.239247311828
K1K,5778.3,14107.5,9511.286559139786
K1L,4172.7,9760.3,6751.175537634408
K1M,2213.9,4931.9,3484.0182795698925
K1N,5532.599999999999,13541.7,9144.241397849462
K1P,99.2,280.7,165.4880376344086
K1R,4080.5,9675.1,6570.32997311828
K1S,7305.599999999999,17762.0,11961.288306451614
K1T,8312.7,20304.4,13500.375806451611
K1V,10696.5,26309.1,17388.525268817204
K1W,3010.2000000000003,7624.4,4787.767204301075
K1X,1538.8,3326.6,2308.2970430107525
K1Y,5012.2,12531.6,8367.783870967742
K1Z,3691.3,9467.5,6244.231182795699
K2,1110.9,1110.9,1110.9
K2A,3632.0,9388.1,6135.74879032258
K2B,5130.2,12345.5,8450.612096774194
K2C,5380.400000000001,13385.6,8836.828494623656
K2E,3367.9,8719.0,5678.961424731183
K2G,9822.6,25080.6,16099.902688172042
K2H,6479.0,16071.9,10659.072983870969
K2J,15514.2,40555.4,25233.76586021505
K2K,4920.5,12559.1,8163.577822580645
K2L,3805.8,10024.0,6294.701747311828
K2M,5421.0,14398.8,8781.823521505377
K2P,2655.5,6647.8,4427.3412634408605
K2R,631.6,1287.4,918.0016129032256
K2S,9379.7,23724.0,15161.337231182795
K2T,2099.7,5630.2,3467.9013440860217
K2V,2010.1,5268.0,3265.91747311828
K2W,2444.7000000000003,5218.7,3645.508467741936
K4,412.6,983.8,678.4225806451614
K4A,10324.8,27615.7,16922.274596774194
K4B,1988.9,4184.0,2985.292607526882
K4C,3173.8,7071.299999999999,4821.616666666667
K4K,5373.3,11740.9,8245.680779569893
K4M,5142.599999999999,11075.7,7812.16129032258
K4P,3263.5,7163.6,4954.759543010753
K4R,2856.6000000000004,6978.700000000001,4547.123252688172
K6,1016.7,2465.8,1686.2860215053763
K6A,5808.8,12244.9,8746.609946236558
K6H,432.1,887.9,651.2092741935484
K6J,94.5,260.0,162.0829301075269
K6K,232.4,555.5,379.1635752688172
K6T,220.9,540.8,368.5877688172043
K6V,7463.4,17370.4,12355.744892473118
K7,95.1,351.2,165.33164794007493
K7A,5116.599999999999,12030.5,8573.55564516129
K7C,5837.1,13638.5,9626.369489247312
K7G,3367.6,7956.2,5568.425940860215
K7H,5987.0,14061.6,10005.050268817206
K7K,7902.0,19227.0,13097.009677419352
K7L,7508.7,17836.8,12078.851612903223
K7M,10023.3,25779.7,16819.644086021504
K7N,1623.2,4396.7,2686.316397849462
K7P,5183.7,13355.3,8499.308467741936
K7R,4766.3,10913.8,7731.592069892473
K7S,4254.8,9873.8,6779.646505376344
K7V,4719.3,11099.5,7579.320967741935
K8,752.6,1632.1,1179.7640646029608
K8A,9025.8,20165.9,14156.717338709675
K8B,129.5,361.9,225.40524193548387
K8H,3730.6,9139.0,5884.477688172044
K8N,9256.3,21703.0,15033.959274193548
K8P,5301.5,12637.2,8834.502150537633
K8R,344.29999999999995,912.8,566.9861559139786
K8V,7342.4,17521.9,11794.230241935486
K9,37073.2,89607.3,61059.41451612903
K9A,542.2,1466.8,963.6008064516128
K9H,420.5,1173.0,789.5755376344085
K9J,898.3,2374.1,1596.077688172043
K9K,226.9,671.5,423.59260752688175
K9L,105.0,353.0,203.6206989247312
K9V,806.0,1937.0,1327.0771505376345
L0,3526.7000000000003,6679.1,5082.962634408603
L0A,5921.3,13346.3,9603.74260752688
L0B,6937.599999999999,15522.3,10995.349193548387
L0C,4696.3,10228.3,7377.523924731183
L0E,8367.7,18331.8,13209.103360215056
L0G,15436.8,33864.5,23919.99731182796
L0H,1146.7,2222.3,1651.6512096774193
L0J,2359.9,4771.7,3438.7114247311824
L0K,18726.8,39385.5,28255.80577956989
L0L,20412.0,44407.5,31601.23803763441
L0M,12641.8,28126.8,19783.76330645161
L0N,2690.2000000000003,5453.2,4008.5708333333337
L0P,4432.2,9410.1,6753.828091397849
L0R,27181.9,61812.3,42983.08306451613
L0S,20516.5,45000.8,32033.972311827954
L1,1804.3,3897.4,2868.6703910614524
L1A,5155.2,11972.5,8422.65309139785
L1B,3246.1,8195.6,5398.165591397849
L1C,11351.6,27972.2,18277.38857526882
L1E,5217.799999999999,14423.9,9276.74744623656
L1G,8703.0,20833.7,14454.563575268818
L1H,8137.900000000001,18958.6,13133.47620967742
L1J,8974.7,21776.5,14784.014650537634
L1K,8283.2,20691.8,13626.302688172042
L1L,2807.5,6401.4,4359.622983870968
L1M,4974.299999999999,12699.0,8218.775268817204
L1N,9160.7,23270.0,15057.740860215054
L1P,4623.1,11314.8,7386.237768817205
L1R,7493.0,19509.9,12462.06491935484
L1S,7233.200000000001,17931.399999999998,11853.304032258064
L1T,8743.6,20979.7,14024.42567204301
L1V,10748.1,25838.4,17425.634811827957
L1W,3819.5,8844.0,5951.820295698924
L1X,5265.4,12123.9,8340.654704301074
L1Y,1148.8,2380.5,1739.88938172043
L1Z,5305.900000000001,12722.1,8473.697580645161
L2,49047.6,117108.7,79803.6186827957
L2A,146.7,405.7,254.49126344086025
L2E,152.5,435.3,274.7114247311828
L2G,230.0,599.8,396.07567204301074
L2H,255.8,717.1,463.9103494623656
L2J,131.7,405.7,249.8375
L2M,407.5,1194.5,764.501747311828
L2N,383.5,1078.3,689.5913978494624
L2P,182.3,521.6,330.01370967741934
L2R,365.4,907.8,603.9801075268817
L2S,301.7,782.3,513.3090053763441
L2T,153.1,383.6,260.4666666666667
L2V,586.6,2413.3,1136.1931451612902
L2W,23.6,81.7,45.7747311827957
L3B,6667.5,14193.3,10200.66370967742
L3C,7235.799999999999,17795.2,11912.97432795699
L3K,5375.5,11540.7,8218.238037634408
L3M,6539.4,16215.1,10770.75255376344
L3P,7178.299999999999,17015.100000000002,11610.320967741936
L3R,9127.2,21374.6,14662.202150537634
L3S,7774.200000000001,18937.2,12718.699731182794
L3T,7803.8,17542.5,12389.632123655914
L3V,15323.0,33868.5,24057.771505376342
L3X,8082.6,20267.5,13229.985215053764
L3Y,9745.8,23750.0,15910.355376344089
L3Z,9266.4,22135.2,14886.670161290322
L4A,10280.3,23483.3,16402.6063172043
L4B,5571.8,12153.4,8568.665456989247
L4C,12376.6,27568.5,19326.65134408602
L4E,11169.0,23849.6,16973.005779569892
L4G,12587.5,30158.1,20431.413978494624
L4H,14176.0,33209.9,22554.17043010753
L4J,11715.9,26657.6,18551.484005376344
L4K,2267.9,5615.5,3748.396774193549
L4L,11772.4,27988.800000000003,18344.46733870968
L4M,10439.0,25554.9,16763.824865591396
