"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 00:00","2021","04","01","00:00","0.5","","-4.7","","68","","","","34","","23","","24.1","","99.06","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 01:00","2021","04","01","01:00","-0.3","","-7.0","","61","","","","35","","24","","24.1","","99.08","","","","-6","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 02:00","2021","04","01","02:00","-0.5","","-6.7","","63","","","","35","","18","","24.1","","99.08","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 03:00","2021","04","01","03:00","-0.8","","-7.7","","60","","","","33","","20","","24.1","","99.06","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 04:00","2021","04","01","04:00","-1.9","","-9.2","","57","","","","32","","22","","24.1","","99.03","","","","-8","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 05:00","2021","04","01","05:00","-2.8","","-8.7","","64","","","","34","","19","","24.1","","99.04","","","","-9","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 06:00","2021","04","01","06:00","-3.2","","-9.3","","63","","","","33","","18","","24.1","","99.04","","","","-9","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 07:00","2021","04","01","07:00","-2.6","","-10.1","","57","","","","32","","24","","24.1","","99.09","","","","-9","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 08:00","2021","04","01","08:00","-1.2","","-10.8","","48","","","","30","","19","","24.1","","99.11","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 09:00","2021","04","01","09:00","-0.2","","-11.3","","43","","","","30","","26","","24.1","","99.14","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 10:00","2021","04","01","10:00","-1.0","","-9.0","","55","","","","32","","20","","24.1","","99.18","","","","-7","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 11:00","2021","04","01","11:00","-0.5","","-7.5","","59","","","","32","","23","","9.7","","99.20","","","","-6","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 12:00","2021","04","01","12:00","0.0","","-6.4","","62","","","","33","","21","","6.4","","99.22","","","","-5","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 13:00","2021","04","01","13:00","0.8","","-9.4","","47","","","","31","","22","","19.3","","99.23","","","","","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 14:00","2021","04","01","14:00","1.4","","-10.2","","42","","","","32","","28","","24.1","","99.25","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 15:00","2021","04","01","15:00","0.6","","-10.2","","44","","","","31","","30","","24.1","","99.28","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 16:00","2021","04","01","16:00","-0.5","","-9.7","","50","","","","30","","32","","24.1","","99.37","","","","-7","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 17:00","2021","04","01","17:00","-2.9","","-11.3","","52","","","","33","","34","","24.1","","99.47","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 18:00","2021","04","01","18:00","-2.8","","-11.9","","50","","","","34","","25","","24.1","","99.53","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 19:00","2021","04","01","19:00","-3.0","","-12.4","","48","","","","34","","27","","24.1","","99.57","","","","-10","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 20:00","2021","04","01","20:00","-3.4","","-13.6","","46","","","","33","","18","","24.1","","99.67","","","","-9","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 21:00","2021","04","01","21:00","-3.4","","-13.8","","45","","","","32","","19","","24.1","","99.69","","","","-9","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 22:00","2021","04","01","22:00","-3.7","","-13.6","","46","","","","32","","15","","24.1","","99.70","","","","-9","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-01 23:00","2021","04","01","23:00","-4.3","","-13.1","","51","","","","34","","13","","24.1","","99.72","","","","-9","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 00:00","2021","04","02","00:00","-4.9","","-12.8","","54","","","","34","","13","","24.1","","99.72","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 01:00","2021","04","02","01:00","-5.3","","-12.6","","57","","","","34","","10","","24.1","","99.74","","","","-10","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 02:00","2021","04","02","02:00","-4.9","","-12.8","","54","","","","31","","5","","24.1","","99.76","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 03:00","2021","04","02","03:00","-5.8","","-13.0","","57","","","","33","","10","","24.1","","99.79","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 04:00","2021","04","02","04:00","-5.5","","-13.2","","55","","","","31","","11","","24.1","","99.84","","","","-10","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 05:00","2021","04","02","05:00","-5.4","","-13.2","","55","","","","31","","14","","24.1","","99.90","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 06:00","2021","04","02","06:00","-5.8","","-13.5","","55","","","","32","","10","","24.1","","99.98","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 07:00","2021","04","02","07:00","-4.1","","-12.9","","50","","","","33","","15","","24.1","","100.04","","","","-9","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 08:00","2021","04","02","08:00","-2.3","","-14.2","","40","","","","36","","18","","24.1","","100.09","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 09:00","2021","04","02","09:00","-1.0","","-14.7","","35","","","","34","","20","","24.1","","100.12","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 10:00","2021","04","02","10:00","0.6","","-15.6","","29","","","","36","","27","","22.5","","100.14","","","","","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 11:00","2021","04","02","11:00","1.2","","-15.5","","28","","","","36","","17","","24.1","","100.10","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 12:00","2021","04","02","12:00","2.3","","-15.9","","25","","","","29","","22","","24.1","","100.07","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 13:00","2021","04","02","13:00","3.0","","-16.0","","24","","","","32","","28","","24.1","","100.02","","","","","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 14:00","2021","04","02","14:00","4.0","","-14.3","","25","","","","35","","14","","24.1","","99.91","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 15:00","2021","04","02","15:00","4.5","","-13.9","","25","","","","30","","22","","24.1","","99.90","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 16:00","2021","04","02","16:00","4.4","","-13.7","","26","","","","30","","16","","24.1","","99.88","","","","","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 17:00","2021","04","02","17:00","4.2","","-12.9","","28","","","","32","","20","","24.1","","99.86","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 18:00","2021","04","02","18:00","3.1","","-12.6","","31","","","","30","","18","","24.1","","99.88","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 19:00","2021","04","02","19:00","1.4","","-11.4","","38","","","","31","","14","","24.1","","99.89","","","","","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 20:00","2021","04","02","20:00","-0.1","","-11.9","","41","","","","31","","13","","24.1","","99.91","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 21:00","2021","04","02","21:00","-1.0","","-12.1","","43","","","","30","","11","","24.1","","99.94","","","","-5","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 22:00","2021","04","02","22:00","-2.5","","-10.6","","54","","","","25","","7","","24.1","","99.92","","","","-5","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-02 23:00","2021","04","02","23:00","-3.8","","-10.2","","61","","","","24","","8","","24.1","","99.91","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 00:00","2021","04","03","00:00","-3.9","","-10.5","","60","","","","27","","7","","24.1","","99.89","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 01:00","2021","04","03","01:00","-4.1","","-9.9","","64","","","","24","","7","","24.1","","99.89","","","","-7","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 02:00","2021","04","03","02:00","-4.5","","-9.5","","68","","","","24","","7","","24.1","","99.87","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 03:00","2021","04","03","03:00","-4.8","","-9.7","","69","","","","25","","6","","24.1","","99.90","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 04:00","2021","04","03","04:00","-5.6","","-9.9","","72","","","","20","","7","","24.1","","99.91","","","","-9","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 05:00","2021","04","03","05:00","-6.0","","-8.4","","83","","","","20","","7","","24.1","","99.90","","","","-9","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 06:00","2021","04","03","06:00","-5.9","","-10.1","","72","","","","19","","10","","24.1","","99.89","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 07:00","2021","04","03","07:00","-2.8","","-7.3","","71","","","","20","","9","","24.1","","99.92","","","","-6","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 08:00","2021","04","03","08:00","1.7","","-2.5","","74","","","","20","","16","","24.1","","99.86","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 09:00","2021","04","03","09:00","3.1","","-2.7","","65","","","","20","","16","","24.1","","99.83","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 10:00","2021","04","03","10:00","4.7","","-0.8","","67","","","","19","","14","","24.1","","99.77","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 11:00","2021","04","03","11:00","7.4","","-4.8","","42","","","","22","","29","","24.1","","99.67","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 12:00","2021","04","03","12:00","7.9","","-4.6","","41","","","","19","","24","","24.1","","99.58","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 13:00","2021","04","03","13:00","8.2","","-5.2","","38","","","","19","","29","","24.1","","99.51","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 14:00","2021","04","03","14:00","8.0","","-6.0","","36","","","","18","","30","","24.1","","99.36","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 15:00","2021","04","03","15:00","7.7","","-7.0","","34","","","","19","","29","","24.1","","99.23","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 16:00","2021","04","03","16:00","5.5","","-3.2","","54","","","","23","","37","","12.9","","99.36","","","","","","Rain Showers"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 17:00","2021","04","03","17:00","6.1","","-2.8","","53","","","","21","","15","","24.1","","99.29","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 18:00","2021","04","03","18:00","7.1","","-4.4","","44","","","","17","","10","","24.1","","99.21","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 19:00","2021","04","03","19:00","4.5","","-4.0","","54","","","","10","","9","","24.1","","99.19","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 20:00","2021","04","03","20:00","4.8","","-4.0","","53","","","","10","","9","","24.1","","99.18","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 21:00","2021","04","03","21:00","4.6","","-4.2","","53","","","","12","","8","","24.1","","99.14","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 22:00","2021","04","03","22:00","3.4","","-3.9","","59","","","","10","","5","","24.1","","99.09","","","","","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-04-03 23:00","2021","04","03","23:00","0.7","","-2.8","","78","","","","4","","8","","24.1","","99.04","","","","","","NA"
