YEAR,MONTH,DAY,HOUR,DAY_OF_WEEK,WEEKEND,WEEKDAY,SEASON,HOLIDAY,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),WIND CHILL CALCULATION,DATE
2018,1,1,1,0,0,1,1,1,-23.8,-25.5,86.0,11.0,-31.994476508911575,2018-01-01
2018,1,1,2,0,0,1,1,1,-22.8,-24.6,85.0,11.0,-30.80005284077663,2018-01-01
2018,1,1,3,0,0,1,1,1,-22.8,-24.6,86.0,12.0,-31.21999812273969,2018-01-01
2018,1,1,4,0,0,1,1,1,-23.4,-25.1,86.0,11.0,-31.516707041657593,2018-01-01
2018,1,1,5,0,0,1,1,1,-21.9,-23.8,85.0,7.0,-27.67180680299372,2018-01-01
2018,1,1,6,0,0,1,1,1,-20.7,-22.8,84.0,7.0,-26.28721561614143,2018-01-01
2018,1,1,7,0,0,1,1,1,-21.1,-22.9,85.0,9.0,-27.854290807180945,2018-01-01
2018,1,1,8,0,0,1,1,1,-20.8,-22.6,85.0,12.0,-28.814834601003867,2018-01-01
2018,1,1,9,0,0,1,1,1,-20.0,-22.0,84.0,15.0,-28.896783616344905,2018-01-01
2018,1,1,10,0,0,1,1,1,-17.8,-19.9,84.0,17.0,-26.778825133302778,2018-01-01
2018,1,1,11,0,0,1,1,1,-15.2,-17.4,84.0,17.0,-23.56418500838638,2018-01-01
2018,1,1,12,0,0,1,1,1,-13.1,-16.3,77.0,22.0,-22.06543971072768,2018-01-01
2018,1,1,13,0,0,1,1,1,-11.7,-17.1,65.0,28.0,-21.330426232558406,2018-01-01
2018,1,1,14,0,0,1,1,1,-11.5,-16.9,65.0,26.0,-20.752762990345573,2018-01-01
2018,1,1,15,0,0,1,1,1,-12.0,-16.2,71.0,25.0,-21.2229851737288,2018-01-01
2018,1,1,16,0,0,1,1,1,-11.7,-15.5,74.0,35.0,-22.322150719288636,2018-01-01
2018,1,1,17,0,0,1,1,1,-11.2,-14.7,76.0,28.0,-20.686299348039668,2018-01-01
2018,1,1,18,0,0,1,1,1,-11.4,-14.8,76.0,31.0,-21.388588467476026,2018-01-01
2018,1,1,19,0,0,1,1,1,-12.2,-14.8,81.0,26.0,-21.648964931240464,2018-01-01
2018,1,1,20,0,0,1,1,1,-12.2,-14.6,82.0,21.0,-20.731951322055316,2018-01-01
2018,1,1,21,0,0,1,1,1,-12.1,-14.5,82.0,22.0,-20.8027638809807,2018-01-01
2018,1,1,22,0,0,1,1,1,-12.0,-14.4,82.0,21.0,-20.480380441042502,2018-01-01
2018,1,1,23,0,0,1,1,1,-12.3,-14.3,85.0,19.0,-20.43765231512362,2018-01-01
2018,1,1,24,0,0,1,1,1,-12.1,-14.3,84.0,17.0,-19.731344859447606,2018-01-01
2018,1,2,1,1,0,1,1,0,-11.8,-14.3,81.0,24.0,-20.792896341388882,2018-01-02
