FSA,CUSTOMER_TYPE,DATE,YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
L9G,Residential,2018-01-01,2018,1,1,1,0.2604218973865212
L9G,Residential,2018-01-01,2018,1,1,2,0.22338724909820476
L9G,Residential,2018-01-01,2018,1,1,3,0.19441923461419744
L9G,Residential,2018-01-01,2018,1,1,4,0.1771388557450004
L9G,Residential,2018-01-01,2018,1,1,5,0.16893401576471787
L9G,Residential,2018-01-01,2018,1,1,6,0.17390022435469235
L9G,Residential,2018-01-01,2018,1,1,7,0.18315082439983968
L9G,Residential,2018-01-01,2018,1,1,8,0.20005804659390888
L9G,Residential,2018-01-01,2018,1,1,9,0.23171647463686332
L9G,Residential,2018-01-01,2018,1,1,10,0.2533549549217523
L9G,Residential,2018-01-01,2018,1,1,11,0.26765008038992577
L9G,Residential,2018-01-01,2018,1,1,12,0.28591632998106575
L9G,Residential,2018-01-01,2018,1,1,13,0.307453459070241
L9G,Residential,2018-01-01,2018,1,1,14,0.3145157946624776
L9G,Residential,2018-01-01,2018,1,1,15,0.3208272100319257
L9G,Residential,2018-01-01,2018,1,1,16,0.33548167155762976
L9G,Residential,2018-01-01,2018,1,1,17,0.37463548121087054
L9G,Residential,2018-01-01,2018,1,1,18,0.44644741024660595
L9G,Residential,2018-01-01,2018,1,1,19,0.4375930012392488
L9G,Residential,2018-01-01,2018,1,1,20,0.4274901297755993
L9G,Residential,2018-01-01,2018,1,1,21,0.40408721731078434
L9G,Residential,2018-01-01,2018,1,1,22,0.37118032681153756
L9G,Residential,2018-01-01,2018,1,1,23,0.3061312866534297
L9G,Residential,2018-01-01,2018,1,1,24,0.23382642225672265
L9G,Residential,2018-01-02,2018,1,2,1,0.1839708477106147
L9G,Residential,2018-01-02,2018,1,2,2,0.15477709647251772
L9G,Residential,2018-01-02,2018,1,2,3,0.14401083536419637
L9G,Residential,2018-01-02,2018,1,2,4,0.14183178465635035
L9G,Residential,2018-01-02,2018,1,2,5,0.14616685170938007
L9G,Residential,2018-01-02,2018,1,2,6,0.16620214035297862
L9G,Residential,2018-01-02,2018,1,2,7,0.19312931030511318
L9G,Residential,2018-01-02,2018,1,2,8,0.2220051873384716
L9G,Residential,2018-01-02,2018,1,2,9,0.23468330054775713
L9G,Residential,2018-01-02,2018,1,2,10,0.2388202720818918
L9G,Residential,2018-01-02,2018,1,2,11,0.24100392966227022
L9G,Residential,2018-01-02,2018,1,2,12,0.2483150363712587
L9G,Residential,2018-01-02,2018,1,2,13,0.24456043525731694
L9G,Residential,2018-01-02,2018,1,2,14,0.22880493119635878
L9G,Residential,2018-01-02,2018,1,2,15,0.22966641635992577
L9G,Residential,2018-01-02,2018,1,2,16,0.24834728447898577
L9G,Residential,2018-01-02,2018,1,2,17,0.3035191899275339
L9G,Residential,2018-01-02,2018,1,2,18,0.39741185901127307
L9G,Residential,2018-01-02,2018,1,2,19,0.41633689137455265
L9G,Residential,2018-01-02,2018,1,2,20,0.4135865884726837
L9G,Residential,2018-01-02,2018,1,2,21,0.4034929307540991
L9G,Residential,2018-01-02,2018,1,2,22,0.3732349919610075
L9G,Residential,2018-01-02,2018,1,2,23,0.31512850870929265
L9G,Residential,2018-01-02,2018,1,2,24,0.238023283133779
L9G,Residential,2018-01-03,2018,1,3,1,0.18146010218043282
L9G,Residential,2018-01-03,2018,1,3,2,0.15468035214933637
L9G,Residential,2018-01-03,2018,1,3,3,0.14369756803199016
L9G,Residential,2018-01-03,2018,1,3,4,0.13734469080975
L9G,Residential,2018-01-03,2018,1,3,5,0.14174886095076636
L9G,Residential,2018-01-03,2018,1,3,6,0.15866529688990036
L9G,Residential,2018-01-03,2018,1,3,7,0.18284677081269843
L9G,Residential,2018-01-03,2018,1,3,8,0.2117410753361865
L9G,Residential,2018-01-03,2018,1,3,9,0.2255156242081938
L9G,Residential,2018-01-03,2018,1,3,10,0.21824597935199733
L9G,Residential,2018-01-03,2018,1,3,11,0.21456048132604225
L9G,Residential,2018-01-03,2018,1,3,12,0.21512251977500044
L9G,Residential,2018-01-03,2018,1,3,13,0.21950365555335452
L9G,Residential,2018-01-03,2018,1,3,14,0.21467104626682085
L9G,Residential,2018-01-03,2018,1,3,15,0.21917656760355106
L9G,Residential,2018-01-03,2018,1,3,16,0.23958501292227755
L9G,Residential,2018-01-03,2018,1,3,17,0.2897814960357862
L9G,Residential,2018-01-03,2018,1,3,18,0.3849733031736746
L9G,Residential,2018-01-03,2018,1,3,19,0.3875946136446352
L9G,Residential,2018-01-03,2018,1,3,20,0.38468767707666307
