TOTAL_CONSUMPTION_API,TOTAL_CONSUMPTION_ORIG
9833.5,9833.5
8174,9029.6
8119.5,8400.8
7795.3,8025.7
8537.9,7847.6
9197.1,7955.4
9312,8156.2
7682.1,8523.2
6821.2,9210.4
6972.9,9680.1
6602.2,9990.4
6007.3,10386.9
7688.2,10854.4
8573.4,11007.7
7731.7,11144.7
7323.4,11462.8
7462.6,12312.7
7605.5,13871.5
7360,13679.3
7578.9,13460
7318.2,12952
6410.7,12237.7
6515.4,10825.7
6822.9,9256.2
7184.5,8174
6909,7540.3
6824.6,7306.6
6876.8,7259.3
6646.3,7353.4
6938.7,7788.3
7568.8,8372.8
6797.3,8999.6
7252.1,9274.8
7947.9,9364.6
7676.2,9412
7255.5,9570.7
7311.2,9489.2
7359.5,9147.2
7335.4,9165.9
7342.4,9571.4
7410.5,10769
7628.9,12807.1
6969,13217.9
7178.7,13158.2
6921,12939.1
6404,12282.3
6249.8,11021
7352.1,9347.3
7196.4,8119.5
6861.3,7538.2
6020.7,7299.8
5575.4,7161.9
6564.4,7257.5
6697.2,7624.7
6791.9,8149.6
6990.1,8776.8
6204.1,9075.8
6112.7,8918
5867.9,8838
5752.7,8850.2
6624.7,8945.3
6864.2,8840.4
6926.8,8938.2
6606.5,9381.2
6323.3,10470.8
6526.5,12537.1
6369.3,12594
6575.6,12530.9
6939.8,12317.1
7008.4,11868.4
6010.8,10612.2
6122.7,8916
6144.7,7795.3
6305.6,7186.7
6268.4,6909.5
6568.9,6860
6485.2,6966.9
5824.9,7341.4
6143.8,7957.7
6145.6,8673.6
5975.2,8950.9
5886.5,8802.7
6493.7,8675.6
6544.5,8749.1
5882.6,8698.2
5531.1,8563.2
5312.2,8711.5
5467.8,9198.5
5710.8,10422.6
6063.7,12675.4
6051.6,13119.5
5887,13309.8
5588.8,13070
5641.2,12527.8
6073.2,11373.5
6010.1,9639.8
6319.6,8537.9
6337.2,7991.7
6024.8,7798.3
5791.7,7696.5
5710,7801.4
5635.2,8188.5
5238.3,8770.1
5835.2,9472.1
6769.1,9766.2
6174.7,9781.9
5943,9611.5
5910.2,9587.6
5790.7,9533.8
6025,9486.5
6230.4,9583.2
5803,9889.4
5053,11095.9
4917.6,13183.3
4961.5,13493.9
5381,13446.9
5168,13170.4
5198.9,12576.8
5932.8,11512.3
5080.8,10130
4918.5,9197.1
4677.2,8551.3
5437.8,8244.6
5031.3,8142.1
4505.6,8179.6
5072.5,8356.7
4893.4,8705
4947.2,9444.6
4866.2,10325.9
5137.5,10928.5
5038.2,11161.7
5321.9,11341.4
5545.8,11321.4
5009.5,11301.9
5237.2,11280
5146.3,11524.9
5294.9,12404.1
5532.7,14369.4
5737.5,14338.7
5466.7,13753.5
5573.7,13290.6
5309.2,12783.7
5399.6,11857.8
5939.4,10444.7
6611.9,9312
7338,8678.5
7386,8260.6
7506.6,8137
9924,8138.1
6944.5,8281.6
8857.2,8592.5
8698.6,9302.8
8198.2,10235.5
6597.5,10643.4
6203.8,10974.2
5888.3,11502.7
5717.8,11853.5
5787.4,11962.8
6213.8,11859.3
6730.8,11929.8
6555.4,12802.2
6042.5,14713.5
6013.6,14587.1
7858.2,14042.8
6595.1,13308.2
6582,12168.5
7078.5,10621.7
8412.8,8911.7
11667.6,7682.1
8896,7129.3
7108,6805.1
6925.5,6711.1
6475.7,6769.4
6949.8,7281.4
6647.8,8165.5
6441.1,9176.9
6532.4,8911.6
6990.7,8440.1
7014.3,8451.4
9410.3,8466.4
10663.8,8500
12566,8512.6
12441.6,8559
10788.6,8859.5
9848.1,10081.9
11122.1,12017.3
10885,12047.1
7381,11986.1
7783.3,11647.7
8423.1,10908.2
9854.8,9499.2
8615.7,7873.2
8218.2,6821.2
9611.2,6297.9
10370.9,6081
9121.8,6039.3
11024.2,6176.1
10483.9,6671.7
7855.3,7603.7
7557.8,8602.9
8071.9,8238.9
10915.2,7586.8
8975.3,7492.5
7833.3,7487.1
8859.8,7575.7
9602.6,7522.7
9114.8,7633.4
7986,7994.2
7866.7,9194.2
7312.3,11303.9
8132.1,11586.7
8283.5,11591.6
8510.6,11394.2
8130.1,10773
8959.2,9530.5
9528.1,7984.7
9919.1,6972.9
11221.1,6528.7
9814.3,6341.2
10005.7,6316.8
8734.9,6493.6
9062.5,6990
8032.6,7938.1
8598.7,8896.4
8716.8,8465.5
8820,7766.9
9737.9,7553.8
10231.3,7234
9855.2,7265.5
9623.2,7374.8
8118.4,7625.1
7897.6,8250.2
8470,9491.2
8028.7,11338.3
6612.9,11408.8
7240.5,11499.4
7902.2,11243
8398.4,10565.2
9525.1,9179.2
10595.6,7576.6
11741.7,6602.2
8356.3,6081.3
6625.6,5754.4
7083.9,5670.8
9601.6,5771.6
10159.4,6226.7
9077.1,7211.7
9500.1,8247.6
11379.1,7885.2
7573.3,7229.4
6852.1,7154.8
6194.6,7006.9
5876,6905.3
5705.7,6692.4
5952.5,6852.8
6349.8,7361.8
6806.1,8806.5
8309.7,10470.4
8826.8,10619.2
8405.2,10718.7
7722.2,10512.8
7010.7,9940.6
6260.3,8685.6
6179.7,7267.4
7075.8,6007.3
5913.5,5479.6
5488.6,5139.5
5544.9,5039
5993.2,5109.6
5494,5489
5448.7,6413
5654.3,7522.1
5625.9,7428.1
5441.5,7334
5401.7,7485.2
5302.4,7721
5324.5,7768.8
5335.4,7849.4
5595.2,8051.7
5765.5,8588.2
5596.7,9700.2
5304.7,11427.1
6837.4,11756.6
6771.1,11719.2
5242.3,11455.2
5558.8,10889.5
5753,9796.7
5230,8491.5
5425.4,7688.2
5191,7163.5
5558.9,6907.8
5428.3,6873.3
5937.4,6912.4
5727.9,7190.9
5405.5,7670.2
5268.4,8476.5
5259,9467.5
5463,9906
5318.2,10059.5
5653.5,10311.3
5983.4,10442.3
5358.5,10341.1
5463.8,10098.6
5076,10528.8
5161.4,11339
5493.1,12966.1
5645.4,13331.4
5944.2,12804.7
5798.8,12299.3
5421.9,11682
5696,10838.8
5821.2,9560.4
5875.7,8573.4
6577.1,7930.6
6761.9,7536.8
6146.1,7485.9
5897.5,7474.2
6499.6,7686.6
6426.2,8097.1
6431.1,8858.6
6605.9,9724.4
6816.2,10099.6
6273.4,10291.9
6310.6,10367.5
6582.9,10534.4
7148.8,10335.9
7095.5,10725.6
6811.4,10989.2
6512.5,11933.4
6233.5,13677.7
6306.8,13627.3
6653.5,13304.6
6496,12784.7
6525.7,11851.2
6923.8,10560.5
6926.8,8882.1
6792,7731.7
6603.4,7267.7
7074.5,7040.9
7012.3,7046.5
7123.1,7176.1
7401.6,7661
7580.1,8627.4
7031.6,9701.4
6855.6,9309
7074.3,8806.1
6991.3,8655.1
6931.5,8686
7096.8,8637.4
7252.7,8592.3
6794.6,8700.2
7024,8945.8
7210.6,10094.9
6991.5,12292.5
7033.3,12500
7657.7,12391.7
8084.5,12065
7699.2,11255.3
8393.8,10007.9
7805.8,8379.7
7336.6,7323.4
7198.6,6880.3
7142.7,6609.9
7538,6566.8
7423.8,6694.6
7943.7,7178
7258.2,8096.3
7023.6,9085.5
7013,8609.6
7104.5,7937.1
7263,7923.8
6967.2,7791.7
6523,7784
6420.8,7744.6
6987.7,7951.1
7400.8,8305.1
7565.1,9559.7
7794.6,11596.8
7112,11970.9
7020.8,12112.8
7004.5,12012.1
7436.2,11460.4
7238.2,10140.4
7619.5,8477.7
8546.2,7462.6
8580.2,7045.7
8371,6902.2
7417,6843.7
6680.9,6986.2
7189.3,7503
8183.5,8457.5
8101.8,9440
7983.6,9021.1
7515.7,8422.3
8023.1,8080
9247.5,7817.5
8839.1,7826.1
8644.2,7760.7
7532.6,7833.8
6623.3,8232.2
5986.1,9549.7
7042.7,11544.4
6844,12068.1
6727.9,12136.9
8161.1,12128.8
7880.7,11429.6
7292,10095.6
7553.7,8586.3
6769.8,7605.5
7323.8,7151.3
6833.4,6937.1
7550.9,6847
7764.1,7009
7860.7,7549.7
7476.5,8479.1
7393.9,9502.7
6897.6,9046
6885.2,8454.6
7252.6,8447.3
7127.8,8359.9
7303.8,8324.3
7470.8,8122.5
7518.7,8251.3
7575.5,8773.7
7494.2,9865.1
7369.1,11580.6
7562.1,11914
7120.3,11934.3
7778.4,11867.1
7932.5,11279.3
7821.3,9983.9
7689.7,8375.9
7609.6,7360
7248.9,6836.5
6404.1,6646.7
6510.6,6468.5
6452,6621.5
6086,7185.8
5697.7,8089.8
6411.2,8995.4
6824.5,8584.7
6371.2,7936.6
6254.9,7696.5
6105.9,7614.6
5750.4,7420
5752.9,7341.7
6586.4,7491.4
6534.7,7840.3
5965.9,8895
6140.3,10744.6
6095.2,11120.3
5873.1,11318.5
5442.4,11089.9
5622.9,10525.3
6208.1,9471.9
6402.5,8284
6078.7,7578.9
5681.5,7155.3
5905.9,6744.6
5838.9,6392
5895.7,6542.5
5180.7,6706.3
5459.2,7271.6
5141.4,7916.4
5358.6,8928
5672,9228.9
6008.2,9292
5373,9470.3
5619.2,9509.7
5707.2,9415.3
5754.3,9078
5653.6,9095.5
5376.4,9912.1
4799.9,11407.7
5761.5,11805.9
5833.3,11420.1
5277.5,10969.3
4994.1,10325.9
5319.7,9558.7
5174.3,8316.8
5247.1,7318.2
5807,6677.5
5755.2,6327
5473.1,6115.2
5789.8,6026
5560.7,6374.1
5363.2,6633.1
5496,7551.9
5418.6,8555.7
5708.8,8845.4
5032.9,9360.4
4909.9,9789.6
5414.8,9657.6
5438.8,9722.7
5106,10151.5
5764.6,10768.7
5753.6,11753.7
5832.2,12758
5633.1,12564.8
5597.4,12140.5
5262.5,11569.1
5318.3,10474.3
5490.6,9107.2
5745.4,7603.9
5699.5,6410.7
5489.3,5967.5
5414.7,5731.7
5597.2,5646.6
5575.4,5810.3
5720.5,6305.3
6357.8,7232.2
6010.4,8355.1
6015.4,8149.2
5810.7,7813.4
5764,7899.8
5867.7,8101
6077.4,8115.8
6192.3,7982.6
5976.2,8026.4
5869.8,8434.3
5893.5,9565.3
5968.6,11135.4
6372.2,11339.3
7332.2,11308.1
6442.5,11081.6
6285.3,10438.4
6197.5,9025.2
6080.5,7539.5
6138.7,6515.4
6274.5,6024.9
6306,5782.1
6446.3,5726.5
6077.8,5797.1
6169.4,6331.9
6834.8,7152.6
7377.9,8111.3
6608.1,7783.9
6840.6,7231.9
7224.7,7002.5
7336.9,7058.2
7567.4,7374.4
7894.5,7412
8826.6,7424.9
9525.8,7929
9768.3,9352.1
9008.7,10995.1
7936.9,11118.6
9224.2,11197.4
8673.7,11077.3
9551.9,10465.5
10650.8,9259
10912.2,7807.8
10200.9,6822.9
7526.3,6407.1
7761.7,6194
8047,6212.2
10441.7,6391.6
8296.8,6922.8
7494.3,7875.4
9158.9,8878.4
8834.8,8627.3
9167.2,8149
10284.7,7891.7
10478.6,7752.9
10874.2,7689.5
11518.3,7431.9
12191.5,7407.2
9012.7,7887.2
7852.3,9246
7919,10950.5
8116.6,11508
9473.4,11637.9
8994.7,11549.3
10008.9,10911.5
10177.1,9717.5
10233.7,8177.1
9928.9,7184.5
8685.4,6775.2
8276.9,6630.8
8327.4,6596.3
9427.4,6770.1
8796.9,7301.9
9331.5,8226.5
8973.3,9329.7
9194.3,8934.1
8040.8,8287.8
7828.9,7879.7
7505.5,7747.1
8536.4,7727
9303.6,7812.5
9328.7,8006.9
8042.4,8372.8
7535.3,9411.1
8184.4,11022.8
9459.2,11397.4
9658.5,11360.3
8719.1,11258.7
10308.4,10644.4
9645.7,9469.3
7274.2,7896.8
6944.8,6909
7101.2,6443.5
7373.4,6225.2
7755.5,6248.2
7954.4,6393.1
7644.1,6863.8
7731.2,7610.9
7156.7,8488.7
7028.3,8337.7
6953.9,7990.6
7091.2,7809.4
7936.9,7645.9
6391,7560.9
6671.1,7227.6
6581.9,7103.2
6872.2,7374.5
6222.2,8197.8
6190.9,9795.8
7537.8,10475.6
8267.9,10497
6395.8,10295.5
6950.7,9854.7
6706.1,8979.5
6323.4,7742.3
6150.7,6824.6
6216.7,6196.5
6311.1,5862.4
6288.5,5738.5
7252.7,5718.6
8635.7,5917.7
8650,6481.9
6362,7183.1
6009.2,8154.5
6419.6,8682
5828.9,8962.2
6183.5,9039.3
6162.1,9287.4
5748.3,9638.3
5630.3,9731
6603.1,9932.5
5737.4,10555.7
5735.2,11408.8
6016.1,11364.2
5927.9,10803.3
5464.4,10231.2
5516.5,9693.4
5467.1,8894.1
5427.2,7780
5453.3,6876.8
5583.7,6182.4
5848.8,5874.9
5652.8,5763.1
5574.1,5822.6
5356.4,6040.6
5553.8,6464.2
5660.5,7237
5866.6,8142
5780.3,8514.6
5282.1,8813.3
5239.1,8906
5305.7,9049.3
5372,9002.5
5421.5,9126.8
5695.2,9381.8
5754.5,10120.8
5387,11684.5
5388.2,12301.3
5199.8,11993.7
5557,11510.4
5752.1,10684.8
6257.7,9326
6377.8,7836.8
6306.4,6646.3
5865.1,6148.9
6304.1,5929.6
6239.4,5859.6
6666.5,6059.1
7164.4,6666.1
7040.5,7495.5
6688.8,8508.5
7262.9,8367
7548.8,8018.7
7118.1,7932.5
7035.8,7982.4
7503.7,8192.2
7672.1,8194.4
6853.6,8181.8
6638.6,8634.7
6507.1,9615.3
6591.4,11348
6323,11789
7227.7,11812.8
7075.5,11622.4
6640.8,10810.6
6337.3,9538
6222.2,8056.4
6517.8,6938.7
6955.2,6522.6
7402.4,6350.9
7980.2,6328
7146.4,6590.4
7290.8,7095.4
7082.9,8166
6941.4,9111.1
7086.5,8745.8
7630.6,8146.5
7952.6,7879.9
6673.3,7782.9
6423.4,7758.8
7463,7711
7889.4,7686.3
7483.5,8083.2
7370.8,9227
7794.4,11000.3
7538.6,11860.8
7381.8,11923.2
7478.9,11873.7
8424.7,11272.9
8022.5,10039.5
8419.9,8637.5
8001.9,7568.8
7449.4,7161.9
7631.7,6958.7
8328.7,6890.2
7802.6,7067.9
7309,7510.4
7381,8344.7
7554.1,9223.3
7415.9,8977.7
7394.3,8546.2
8677.2,8369.3
7489.5,8237.7
7014.6,8137.4
7157,7953.6
7575.2,7708.9
7064.2,7922.5
7207.8,9057
6983.3,10867.8
7590.8,11382.4
7188,11364.7
6757.4,11080.6
7482,10449.5
7170.2,9249.4
7022.5,7797.5
6919.2,6797.3
6789.5,6312.7
7669.5,6026.8
8112.4,5958.3
7757.5,6154.1
7771,6663.5
7614.2,7518.5
7703.8,8373.8
7248.2,7942.2
7050.4,7435.6
7351.1,7090.2
7397.6,6983.8
7047.1,6980.4
6955.5,7134.6
7025.2,7335.2
7457.7,8049.3
7180.2,9162.4
7382.4,10418.3
7469.2,11139.5
7015.2,11338.4
6766.6,11221.7
7153.4,10811.6
7407.2,9577.3
7503.4,8183
7981.5,7252.1
8279.3,6771.4
7240.4,6682.7
6908.9,6714.5
7128.7,6901.7
6982,7357.6
8039.7,8280.7
8361.9,9277.1
7761,8872.1
7411.7,8341.1
