FSA,CUSTOMER_TYPE,DATE,YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
L7G,Residential,2018-01-01,2018,1,1,1,19741.1
L7G,Residential,2018-01-01,2018,1,1,2,18400.9
L7G,Residential,2018-01-01,2018,1,1,3,17216.5
L7G,Residential,2018-01-01,2018,1,1,4,16479.2
L7G,Residential,2018-01-01,2018,1,1,5,16196.9
L7G,Residential,2018-01-01,2018,1,1,6,16314.1
L7G,Residential,2018-01-01,2018,1,1,7,16404.4
L7G,Residential,2018-01-01,2018,1,1,8,16826.1
L7G,Residential,2018-01-01,2018,1,1,9,17881.6
L7G,Residential,2018-01-01,2018,1,1,10,19661.4
L7G,Residential,2018-01-01,2018,1,1,11,20989.5
L7G,Residential,2018-01-01,2018,1,1,12,21812.9
L7G,Residential,2018-01-01,2018,1,1,13,22486.6
L7G,Residential,2018-01-01,2018,1,1,14,22892.5
L7G,Residential,2018-01-01,2018,1,1,15,23320.0
L7G,Residential,2018-01-01,2018,1,1,16,23785.4
L7G,Residential,2018-01-01,2018,1,1,17,25554.4
L7G,Residential,2018-01-01,2018,1,1,18,28866.2
L7G,Residential,2018-01-01,2018,1,1,19,28795.2
L7G,Residential,2018-01-01,2018,1,1,20,28093.2
L7G,Residential,2018-01-01,2018,1,1,21,26915.1
L7G,Residential,2018-01-01,2018,1,1,22,24858.4
L7G,Residential,2018-01-01,2018,1,1,23,21842.6
L7G,Residential,2018-01-01,2018,1,1,24,18375.6
L7G,Residential,2018-01-02,2018,1,2,1,16154.0
L7G,Residential,2018-01-02,2018,1,2,2,14797.4
L7G,Residential,2018-01-02,2018,1,2,3,14324.1
L7G,Residential,2018-01-02,2018,1,2,4,14209.7
L7G,Residential,2018-01-02,2018,1,2,5,14644.4
L7G,Residential,2018-01-02,2018,1,2,6,15606.9
L7G,Residential,2018-01-02,2018,1,2,7,16791.7
L7G,Residential,2018-01-02,2018,1,2,8,17444.7
L7G,Residential,2018-01-02,2018,1,2,9,17780.4
L7G,Residential,2018-01-02,2018,1,2,10,17883.3
L7G,Residential,2018-01-02,2018,1,2,11,18264.3
L7G,Residential,2018-01-02,2018,1,2,12,18913.6
L7G,Residential,2018-01-02,2018,1,2,13,18887.5
L7G,Residential,2018-01-02,2018,1,2,14,18589.9
L7G,Residential,2018-01-02,2018,1,2,15,17891.5
L7G,Residential,2018-01-02,2018,1,2,16,18464.6
L7G,Residential,2018-01-02,2018,1,2,17,21366.7
L7G,Residential,2018-01-02,2018,1,2,18,26170.0
