FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,1,2018-10-01,5441.5
L9G,Residential,1,2018-10-02,5401.7
L9G,Residential,1,2018-10-03,5302.4
L9G,Residential,1,2018-10-04,5324.5
L9G,Residential,1,2018-10-05,5335.4
L9G,Residential,1,2018-10-06,5595.2
L9G,Residential,1,2018-10-07,5765.5
L9G,Residential,1,2018-10-08,5596.7
L9G,Residential,1,2018-10-09,5304.7
L9G,Residential,1,2018-10-10,6837.4
L9G,Residential,1,2018-10-11,6771.1
L9G,Residential,1,2018-10-12,5242.3
L9G,Residential,1,2018-10-13,5558.8
L9G,Residential,1,2018-10-14,5753.0
L9G,Residential,1,2018-10-15,5230.0
L9G,Residential,1,2018-10-16,5425.4
L9G,Residential,1,2018-10-17,5191.0
L9G,Residential,1,2018-10-18,5558.9
L9G,Residential,1,2018-10-19,5428.3
L9G,Residential,1,2018-10-20,5937.4
L9G,Residential,1,2018-10-21,5727.9
L9G,Residential,1,2018-10-22,5405.5
L9G,Residential,1,2018-10-23,5268.4
L9G,Residential,1,2018-10-24,5259.0
L9G,Residential,1,2018-10-25,5463.0
L9G,Residential,1,2018-10-26,5318.2
L9G,Residential,1,2018-10-27,5653.5
L9G,Residential,1,2018-10-28,5983.4
L9G,Residential,1,2018-10-29,5358.5
L9G,Residential,1,2018-10-30,5463.8
L9G,Residential,1,2018-10-31,5076.0
L9G,Residential,1,2018-11-01,5161.4
L9G,Residential,1,2018-11-02,5493.1
L9G,Residential,1,2018-11-03,5645.4
L9G,Residential,1,2018-11-04,5944.2
L9G,Residential,1,2018-11-05,5798.8
L9G,Residential,1,2018-11-06,5421.9
L9G,Residential,1,2018-11-07,5696.0
L9G,Residential,1,2018-11-08,5821.2
L9G,Residential,1,2018-11-09,5875.7
L9G,Residential,1,2018-11-10,6577.1
L9G,Residential,1,2018-11-11,6761.9
L9G,Residential,1,2018-11-12,6146.1
L9G,Residential,1,2018-11-13,5897.5
L9G,Residential,1,2018-11-14,6499.6
L9G,Residential,1,2018-11-15,6426.2
L9G,Residential,1,2018-11-16,6431.1
L9G,Residential,1,2018-11-17,6605.9
L9G,Residential,1,2018-11-18,6816.2
L9G,Residential,1,2018-11-19,6273.4
L9G,Residential,1,2018-11-20,6310.6
L9G,Residential,1,2018-11-21,6582.9
L9G,Residential,1,2018-11-22,7148.8
L9G,Residential,1,2018-11-23,7095.5
L9G,Residential,1,2018-11-24,6811.4
L9G,Residential,1,2018-11-25,6512.5
L9G,Residential,1,2018-11-26,6233.5
L9G,Residential,1,2018-11-27,6306.8
L9G,Residential,1,2018-11-28,6653.5
L9G,Residential,1,2018-11-29,6496.0
L9G,Residential,1,2018-11-30,6525.7
L9G,Residential,1,2018-12-01,6923.8
L9G,Residential,1,2018-12-02,6926.8
L9G,Residential,1,2018-12-03,6792.0
L9G,Residential,1,2018-12-04,6603.4
L9G,Residential,1,2018-12-05,7074.5
L9G,Residential,1,2018-12-06,7012.3
L9G,Residential,1,2018-12-07,7123.1
L9G,Residential,1,2018-12-08,7401.6
