FSA,CUSTOMER_TYPE,DATE,YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
M9M,Residential,2018-01-01,2018,1,1,1,4823.2
M9M,Residential,2018-01-01,2018,1,1,2,4547.5
M9M,Residential,2018-01-01,2018,1,1,3,4208.9
M9M,Residential,2018-01-01,2018,1,1,4,4033.3999999999996
M9M,Residential,2018-01-01,2018,1,1,5,3900.5
M9M,Residential,2018-01-01,2018,1,1,6,3830.4
M9M,Residential,2018-01-01,2018,1,1,7,3895.0
M9M,Residential,2018-01-01,2018,1,1,8,4077.2
M9M,Residential,2018-01-01,2018,1,1,9,4448.3
M9M,Residential,2018-01-01,2018,1,1,10,4905.900000000001
M9M,Residential,2018-01-01,2018,1,1,11,5358.7
M9M,Residential,2018-01-01,2018,1,1,12,5823.900000000001
M9M,Residential,2018-01-01,2018,1,1,13,5929.7
M9M,Residential,2018-01-01,2018,1,1,14,5894.0
M9M,Residential,2018-01-01,2018,1,1,15,5996.5
M9M,Residential,2018-01-01,2018,1,1,16,5949.5
M9M,Residential,2018-01-01,2018,1,1,17,6214.0
M9M,Residential,2018-01-01,2018,1,1,18,6668.099999999999
M9M,Residential,2018-01-01,2018,1,1,19,6834.5
M9M,Residential,2018-01-01,2018,1,1,20,6682.8
M9M,Residential,2018-01-01,2018,1,1,21,6515.4
M9M,Residential,2018-01-01,2018,1,1,22,6096.6
M9M,Residential,2018-01-01,2018,1,1,23,5485.700000000001
M9M,Residential,2018-01-01,2018,1,1,24,4886.700000000001
M9M,Residential,2018-01-02,2018,1,2,1,4400.0
M9M,Residential,2018-01-02,2018,1,2,2,3999.2
M9M,Residential,2018-01-02,2018,1,2,3,3736.0
M9M,Residential,2018-01-02,2018,1,2,4,3582.6
M9M,Residential,2018-01-02,2018,1,2,5,3583.7000000000003
M9M,Residential,2018-01-02,2018,1,2,6,3821.2999999999997
M9M,Residential,2018-01-02,2018,1,2,7,4022.7000000000003
M9M,Residential,2018-01-02,2018,1,2,8,4141.2
M9M,Residential,2018-01-02,2018,1,2,9,4280.7
M9M,Residential,2018-01-02,2018,1,2,10,4406.299999999999
