Station Name,Date/Time (LST),Year,Month,Day,Hour,Temperature,Dew Point Temperature,Wind_Speed,Precipitation,Station Pressure,Humidity,Windchill
TORONTO INTL A,2018-01-01 00:00:00,2018,1,1,0,-19.5,-24.1,9,,100.89,67.0,-26.0
TORONTO INTL A,2018-01-01 01:00:00,2018,1,1,1,-21.7,-25.7,12,,100.9,71.0,-30.0
TORONTO INTL A,2018-01-01 02:00:00,2018,1,1,2,-19.3,-23.0,9,,100.89,73.0,-26.0
TORONTO INTL A,2018-01-01 03:00:00,2018,1,1,3,-20.3,-23.9,4,,100.88,73.0,-24.0
TORONTO INTL A,2018-01-01 04:00:00,2018,1,1,4,-19.9,-23.2,4,,100.83,75.0,-23.0
TORONTO INTL A,2018-01-01 05:00:00,2018,1,1,5,-18.7,-22.0,0,,100.79,76.0,
TORONTO INTL A,2018-01-01 06:00:00,2018,1,1,6,-17.5,-21.0,5,,100.72,75.0,-21.0
TORONTO INTL A,2018-01-01 07:00:00,2018,1,1,7,-17.4,-20.8,5,,100.68,75.0,-21.0
TORONTO INTL A,2018-01-01 08:00:00,2018,1,1,8,-18.5,-21.6,12,,100.64,77.0,-26.0
TORONTO INTL A,2018-01-01 09:00:00,2018,1,1,9,-14.9,-18.1,21,,100.59,76.0,-24.0
TORONTO INTL A,2018-01-01 10:00:00,2018,1,1,10,-12.8,-16.8,27,,100.59,72.0,-23.0
TORONTO INTL A,2018-01-01 11:00:00,2018,1,1,11,-11.4,-16.3,32,,100.56,67.0,-22.0
TORONTO INTL A,2018-01-01 12:00:00,2018,1,1,12,-10.0,-15.8,37,,100.46,63.0,-20.0
TORONTO INTL A,2018-01-01 13:00:00,2018,1,1,13,-9.7,-15.6,28,,100.39,62.0,-19.0
TORONTO INTL A,2018-01-01 14:00:00,2018,1,1,14,-8.7,-15.0,35,,100.36,61.0,-18.0
TORONTO INTL A,2018-01-01 15:00:00,2018,1,1,15,-10.3,-14.9,33,,100.43,69.0,-20.0
TORONTO INTL A,2018-01-01 16:00:00,2018,1,1,16,-10.6,-17.6,26,,100.49,57.0,-20.0
TORONTO INTL A,2018-01-01 17:00:00,2018,1,1,17,-11.4,-17.8,28,,100.53,59.0,-21.0
TORONTO INTL A,2018-01-01 18:00:00,2018,1,1,18,-12.3,-19.0,29,,100.63,58.0,-22.0
TORONTO INTL A,2018-01-01 19:00:00,2018,1,1,19,-13.2,-19.4,29,,100.69,60.0,-24.0
TORONTO INTL A,2018-01-01 20:00:00,2018,1,1,20,-13.9,-19.7,21,,100.74,62.0,-23.0
TORONTO INTL A,2018-01-01 21:00:00,2018,1,1,21,-14.4,-19.8,21,,100.75,64.0,-24.0
TORONTO INTL A,2018-01-01 22:00:00,2018,1,1,22,-13.9,-19.2,22,,100.75,65.0,-23.0
TORONTO INTL A,2018-01-01 23:00:00,2018,1,1,23,-12.3,-17.8,17,,100.75,64.0,-20.0
