Features, MAPE, MAE, R^2, MSE, RMSE
"Base + Top ""Helpful"" Tranformations",0.069335826664,640.747615276668,0.892342255820,744978.242582098000,863.121221255796
Temp (C) - Cosine ,0.069344297000,  640.8959456869025 ,  0.8922461076895636 ,  745643.5757257673 ,  863.5065580097046
Temp (C) - Square ,0.069345623000,  640.8704574711705 ,  0.8922798740171494 ,  745409.9169251401 ,  863.3712509257765
"Base + ""Helpful"" Tranformations",0.069348242817,640.661441866066,0.892501600940,743875.594105671000,862.482228283963
Temp (C) - Tangent ,0.069357590000,  640.8753706124912 ,0.892369666000,  744788.5665594487 ,  863.0113362867539
Temp (C) - Cube ,0.069361333000,  640.8696158340867 ,0.892371155000,  744778.2651384696 ,  863.0053679661962
Temp (C) - Sine ,0.069372527000,  641.2479236593634 ,  0.8920800366310537 ,  746792.7668615745 ,  864.1717230166552
Temp (C) - Square Root ,0.069372777000,  641.2528595190615 ,  0.8920611267962033 ,  746923.6205743448 ,  864.2474301809319
Temp (C) - Inverse ,0.069375029000,  641.2885178651998 ,  0.8920815753306729 ,  746782.1192509736 ,  864.1655624074438
Wind Spd (km/h) - Square Root ,0.069375856000,  641.2319938592906 ,  0.8920737879272913 ,  746836.0071169115 ,  864.1967409779509
Wind Spd (km/h) - Square ,0.069379057000,  641.2754408742278 ,  0.8920706032907528 ,  746858.0444069344 ,864.209491000000
Wind Spd (km/h) - Cosine ,0.069379062000,641.275360300000,  0.8920707643081598 ,  746856.9301864405 ,  864.2088463944583
Wind Spd (km/h) - Cube ,0.069380859000,  641.2887622329545 ,  0.8920740915927385 ,  746833.9057896645 ,  864.1955252080772
Temp (C) - Logarithm ,0.069384614000,  641.3997456436322 ,  0.8920162382123767 ,  747234.2440092479 ,  864.4271189691169
Wind Spd (km/h) - Inverse ,0.069386552000,641.347776200000,  0.8920353463121958 ,  747102.0183274748 ,  864.3506339023966
Wind Spd (km/h) - Tangent ,0.069390339000,  641.3735481352869 ,  0.8920295008109745 ,  747142.4684712156 ,864.374032700000
Wind Spd (km/h) - Sine ,0.069390851000,  641.3808618201896 ,  0.8920261410771612 ,  747165.7174126726 ,  864.3874810596649
Wind Spd (km/h) - Logarithm ,0.069392234000,  641.3989086687047 ,  0.8920150265355948 ,  747242.6286623582 ,  864.4319687878035
WIND CHILL CALCULATION - Sine ,0.069392371000,  641.3441887645569 ,  0.8921306617537927 ,  746442.4472885987 ,  863.9690082917319
WIND CHILL CALCULATION - Inverse ,0.069394714000,  641.3516562379809 ,  0.8921475216550432 ,  746325.7788621942 ,  863.9014867808679
WIND CHILL CALCULATION - Cube ,0.069395279000,  641.2540822700449 ,  0.8922775994034965 ,  745425.6569696164 ,  863.3803663331802
Dew Point Temp (C) - Inverse ,0.069397468000,  641.4335297748138 ,  0.8920137752626457 ,  747251.2873160362 ,  864.4369770642833
WIND CHILL CALCULATION - Tangent ,0.069399279000,641.285208400000,  0.8922783380374749 ,  745420.5457140602 ,  863.3774063027479
Base Features,0.069400006000,  641.4705291390947 ,  0.8920041129144924 ,  747318.1495673424 ,  864.4756500719626
WIND CHILL CALCULATION - Logarithm ,0.069401940000,  641.4324621685064 ,  0.8921109424217174 ,  746578.9026218054 ,  864.0479747223561
WIND CHILL CALCULATION - Square Root ,0.069403738000,  641.4552678370962 ,  0.8920894663200195 ,  746727.5145830004 ,  864.1339679604085
Rel Hum (%) - Square Root ,0.069404201000,  641.4767925348415 ,  0.8920153323658968 ,  747240.5123545848 ,  864.4307446837976
WIND CHILL CALCULATION - Square ,0.069405390000,  641.4494475966584 ,  0.8921614599503056 ,746229.327600000000,  863.8456619020634
Rel Hum (%) - Sine ,0.069405727000,  641.4692418648601 ,  0.8920315617090488 ,  747128.2073120461 ,  864.3657832839325
Rel Hum (%) - Logarithm ,0.069406151000,  641.4721100231826 ,  0.8920329665055334 ,  747118.4862945364 ,  864.3601600574476
WIND CHILL CALCULATION - Cosine ,0.069407131000,  641.4911943670446 ,  0.8921298866225966 ,  746447.8111003767 ,863.972112500000
Rel Hum (%) - Inverse ,0.069409554000,  641.4770920862028 ,  0.8920416951358255 ,747058.085300000000,  864.3252196106909
Rel Hum (%) - Tangent ,0.069409910000,641.468118700000,  0.8920382358520094 ,  747082.0230702036 ,  864.3390671896091
Rel Hum (%) - Cosine ,0.069410930000,  641.5031880519316 ,  0.8920334998843624 ,  747114.7953791664 ,  864.3580249984184
Rel Hum (%) - Square ,0.069411177000,  641.4972005195626 ,  0.8920369087168416 ,  747091.2066810299 ,  864.3443796780482
Rel Hum (%) - Cube ,0.069411371000,  641.4793596534349 ,  0.8920491326734338 ,  747006.6184169077 ,  864.2954462548716
Dew Point Temp (C) - Logarithm ,0.069412441000,  641.5700968703197 ,0.891992133000,  747401.0524451392 ,  864.5235985472804
Dew Point Temp (C) - Cube ,0.069412934000,  641.5526317795029 ,  0.8920010641114607 ,747339.246900000000,  864.4878523763877
Dew Point Temp (C) - Cosine ,0.069417703000,  641.6174825409493 ,  0.8919888504356761 ,  747423.7640285471 ,  864.5367337647066
Dew Point Temp (C) - Square ,0.069417758000,  641.6134896330587 ,  0.8919895527669504 ,  747418.9039832029 ,  864.5339229800082
Dew Point Temp (C) - Tangent ,0.069418867000,  641.6158456405652 ,  0.8919848814100877 ,  747451.2291935487 ,  864.5526179438408
Dew Point Temp (C) - Sine ,0.069426252000,  641.6983014456971 ,  0.8919641114248161 ,  747594.9549166163 ,  864.6357353918564
Dew Point Temp (C) - Square Root ,0.069427162000,  641.7174686099519 ,  0.8919561341300204 ,  747650.1568075981 ,  864.6676568529657
