FSA,CUSTOMER_TYPE,DATE,YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
K0K,Residential,2019-01-01,2019,1,1,1,60403.5
K0K,Residential,2019-01-01,2019,1,1,2,56227.6
K0K,Residential,2019-01-01,2019,1,1,3,52788.0
K0K,Residential,2019-01-01,2019,1,1,4,51060.8
K0K,Residential,2019-01-01,2019,1,1,5,51813.8
K0K,Residential,2019-01-01,2019,1,1,6,54209.7
K0K,Residential,2019-01-01,2019,1,1,7,57371.8
K0K,Residential,2019-01-01,2019,1,1,8,61064.2
K0K,Residential,2019-01-01,2019,1,1,9,67889.70000000001
K0K,Residential,2019-01-01,2019,1,1,10,74867.40000000001
K0K,Residential,2019-01-01,2019,1,1,11,80680.6
K0K,Residential,2019-01-01,2019,1,1,12,81251.3
K0K,Residential,2019-01-01,2019,1,1,13,79775.6
K0K,Residential,2019-01-01,2019,1,1,14,77832.4
K0K,Residential,2019-01-01,2019,1,1,15,76967.1
K0K,Residential,2019-01-01,2019,1,1,16,78728.1
K0K,Residential,2019-01-01,2019,1,1,17,87671.8
K0K,Residential,2019-01-01,2019,1,1,18,96273.2
K0K,Residential,2019-01-01,2019,1,1,19,94246.8
K0K,Residential,2019-01-01,2019,1,1,20,92556.5
K0K,Residential,2019-01-01,2019,1,1,21,88589.40000000001
K0K,Residential,2019-01-01,2019,1,1,22,83048.9
K0K,Residential,2019-01-01,2019,1,1,23,75703.29999999999
K0K,Residential,2019-01-01,2019,1,1,24,69013.5
K0K,Residential,2019-01-02,2019,1,2,1,64706.5
K0K,Residential,2019-01-02,2019,1,2,2,63078.9
K0K,Residential,2019-01-02,2019,1,2,3,62872.2
K0K,Residential,2019-01-02,2019,1,2,4,63503.2
K0K,Residential,2019-01-02,2019,1,2,5,65732.0
K0K,Residential,2019-01-02,2019,1,2,6,70960.8
K0K,Residential,2019-01-02,2019,1,2,7,77889.2
K0K,Residential,2019-01-02,2019,1,2,8,82576.40000000001
K0K,Residential,2019-01-02,2019,1,2,9,84300.70000000001
K0K,Residential,2019-01-02,2019,1,2,10,82297.2
K0K,Residential,2019-01-02,2019,1,2,11,79644.1
K0K,Residential,2019-01-02,2019,1,2,12,78540.7
K0K,Residential,2019-01-02,2019,1,2,13,78879.5
K0K,Residential,2019-01-02,2019,1,2,14,78628.6
K0K,Residential,2019-01-02,2019,1,2,15,78609.2
K0K,Residential,2019-01-02,2019,1,2,16,81274.8
K0K,Residential,2019-01-02,2019,1,2,17,89837.29999999999
K0K,Residential,2019-01-02,2019,1,2,18,98891.7
K0K,Residential,2019-01-02,2019,1,2,19,98003.7
K0K,Residential,2019-01-02,2019,1,2,20,96613.6
K0K,Residential,2019-01-02,2019,1,2,21,93042.0
K0K,Residential,2019-01-02,2019,1,2,22,86642.3
K0K,Residential,2019-01-02,2019,1,2,23,78247.3
K0K,Residential,2019-01-02,2019,1,2,24,69619.40000000001
K0K,Residential,2019-01-03,2019,1,3,1,64308.8
K0K,Residential,2019-01-03,2019,1,3,2,61713.2
K0K,Residential,2019-01-03,2019,1,3,3,60764.6
K0K,Residential,2019-01-03,2019,1,3,4,60857.2
K0K,Residential,2019-01-03,2019,1,3,5,62474.9
K0K,Residential,2019-01-03,2019,1,3,6,66658.3
K0K,Residential,2019-01-03,2019,1,3,7,72507.79999999999
K0K,Residential,2019-01-03,2019,1,3,8,75862.09999999999
K0K,Residential,2019-01-03,2019,1,3,9,77164.09999999999
K0K,Residential,2019-01-03,2019,1,3,10,76665.8
K0K,Residential,2019-01-03,2019,1,3,11,75809.20000000001
K0K,Residential,2019-01-03,2019,1,3,12,75507.0
K0K,Residential,2019-01-03,2019,1,3,13,74897.5
K0K,Residential,2019-01-03,2019,1,3,14,73117.0
K0K,Residential,2019-01-03,2019,1,3,15,72697.5
K0K,Residential,2019-01-03,2019,1,3,16,74322.29999999999
K0K,Residential,2019-01-03,2019,1,3,17,82373.0
K0K,Residential,2019-01-03,2019,1,3,18,91847.1
K0K,Residential,2019-01-03,2019,1,3,19,90787.6
K0K,Residential,2019-01-03,2019,1,3,20,89544.7
K0K,Residential,2019-01-03,2019,1,3,21,86265.3
K0K,Residential,2019-01-03,2019,1,3,22,80278.3
K0K,Residential,2019-01-03,2019,1,3,23,71683.0
K0K,Residential,2019-01-03,2019,1,3,24,63610.9
