Date/Time (LST),Year,Month,Day,Hour,Temperature,Dew Point Temperature,Wind_Speed,Station Pressure,Humidity,Windchill,Weekend,Season,TOTAL_CONSUMPTION
2019-01-01 06:00:00,2019,1,1,6,1.4,-0.7,20.5,99.42,86.0,-3.544793232098608,0,1,94764.6
2019-01-01 07:00:00,2019,1,1,7,1.6,-0.7,17.0,99.72,85.0,-2.7782642012342977,0,1,92246.3
2019-01-01 08:00:00,2019,1,1,8,1.7,-1.3,20.5,99.98,80.0,-3.165481943509891,0,1,90806.8
2019-01-01 09:00:00,2019,1,1,9,1.6,-2.4,20.5,100.27,75.0,-3.291919039706129,0,1,90340.6
2019-01-01 10:00:00,2019,1,1,10,1.3,-2.1,15.0,100.53,78.0,-2.81324383952314,0,1,91219.8
2019-01-01 11:00:00,2019,1,1,11,1.2,-2.2,17.0,100.57,78.0,-3.2764242204522045,0,1,94125.7
2019-01-01 12:00:00,2019,1,1,12,0.9,-4.6,22.0,100.55,67.0,-4.3798780942698885,0,1,97474.2
2019-01-01 13:00:00,2019,1,1,13,0.9,-4.5,13.0,100.66,67.0,-2.9219650242109942,0,1,101431.8
2019-01-01 14:00:00,2019,1,1,14,0.3,-5.4,11.0,100.82,66.0,-3.206166106859308,0,1,107782.4
2019-01-01 15:00:00,2019,1,1,15,0.6,-5.6,15.0,100.98,63.0,-3.676364865052494,0,1,111270.5
2019-01-01 16:00:00,2019,1,1,16,-0.9,-7.8,17.0,101.08,59.5,-5.891764321346216,0,1,113958.6
2019-01-01 17:00:00,2019,1,1,17,-2.1,-9.6,13.0,101.18,56.0,-6.579527338017578,0,1,114149.1
2019-01-01 18:00:00,2019,1,1,18,-3.8,-12.4,11.0,101.29,51.0,-8.140203146212599,0,1,112156.9
2019-01-01 19:00:00,2019,1,1,19,-5.0,-11.7,18.5,101.36,59.0,-11.284089666985288,0,1,109916.9
2019-01-01 20:00:00,2019,1,1,20,-6.7,-12.1,9.0,101.43,65.0,-10.979666275664902,0,1,108833.2
2019-01-01 21:00:00,2019,1,1,21,-7.1,-11.9,13.0,101.48,69.0,-12.67546452769522,0,1,109339.0
