Date/Time (LST),Year,Month,Day,Hour,Temperature,Dew Point Temperature,Wind_Speed,Station Pressure,Humidity,Windchill,Weekend,Season,TOTAL_CONSUMPTION
2019-01-01 00:00:00,2019,1,1,0,4.5,3.7,14.0,97.29,94.0,1.2947565862574255,0,1,4823.2
2019-01-01 01:00:00,2019,1,1,1,4.4,3.6,7.0,97.32,94.0,2.7134167088523493,0,1,4547.5
2019-01-01 02:00:00,2019,1,1,2,2.4,1.5,35.0,97.54,94.0,-3.7898444363554833,0,1,4208.9
2019-01-01 03:00:00,2019,1,1,3,2.2,1.2,29.0,97.89,93.0,-3.5046334961281005,0,1,4033.4
2019-01-01 04:00:00,2019,1,1,4,1.9,0.8,30.0,98.16,92.0,-3.9939177662970873,0,1,3900.5
2019-01-01 05:00:00,2019,1,1,5,2.6,1.1,36.0,98.51,89.0,-3.6079772656676794,0,1,3830.4
2019-01-01 06:00:00,2019,1,1,6,1.6,-0.3,36.0,98.78,87.0,-4.932957001412301,0,1,3895.0
2019-01-01 07:00:00,2019,1,1,7,1.3,-1.0,27.0,99.04,84.0,-4.464095207965373,0,1,4077.2
2019-01-01 08:00:00,2019,1,1,8,1.1,-1.7,28.0,99.34,82.0,-4.830877988878711,0,1,4448.3
2019-01-01 09:00:00,2019,1,1,9,0.5,-2.7,22.0,99.6,79.0,-4.888548426168683,0,1,4905.900000000001
2019-01-01 10:00:00,2019,1,1,10,0.0,-3.6,30.0,99.67,76.0,-6.472951590454416,0,1,5358.7
2019-01-01 11:00:00,2019,1,1,11,-1.0,-5.0,28.0,99.77,75.0,-7.555110903857409,0,1,5823.900000000001
2019-01-01 12:00:00,2019,1,1,12,-1.6,-5.9,28.0,99.82,72.0,-8.333463165279897,0,1,5929.7
2019-01-01 13:00:00,2019,1,1,13,-0.7,-5.5,29.0,99.92,70.0,-7.277703247170986,0,1,5894.0
2019-01-01 14:00:00,2019,1,1,14,-0.7,-6.2,30.0,99.96,66.0,-7.386279841459748,0,1,5996.5
2019-01-01 15:00:00,2019,1,1,15,-1.7,-7.3,25.0,100.1,66.0,-8.094341609725221,0,1,5949.5
2019-01-01 16:00:00,2019,1,1,16,-3.0,-8.3,23.0,100.15,67.0,-9.486412794832924,0,1,6214.0
2019-01-01 17:00:00,2019,1,1,17,-3.9,-8.6,24.0,100.26,70.0,-10.780849322941936,0,1,6668.099999999999
2019-01-01 18:00:00,2019,1,1,18,-5.5,-9.9,20.0,100.31,71.0,-12.18232186530268,0,1,6834.5
2019-01-01 19:00:00,2019,1,1,19,-6.5,-10.9,19.0,100.4,71.0,-13.260058277221749,0,1,6682.8
2019-01-01 20:00:00,2019,1,1,20,-7.0,-11.5,17.0,100.42,70.0,-13.488704614419294,0,1,6515.4
2019-01-01 21:00:00,2019,1,1,21,-7.2,-11.5,18.0,100.45,71.0,-13.943423654534216,0,1,6096.6
2019-01-01 22:00:00,2019,1,1,22,-7.8,-12.0,17.0,100.43,72.0,-14.48502465285511,0,1,5485.700000000001
2019-01-01 23:00:00,2019,1,1,23,-8.0,-12.1,15.0,100.4,72.0,-14.28042317869884,0,1,4886.700000000001
2019-01-02 00:00:00,2019,1,2,0,-7.8,-11.9,16.0,100.44,72.0,-14.265347132511824,0,1,4400.0
2019-01-02 01:00:00,2019,1,2,1,-7.8,-12.0,18.0,100.43,72.0,-14.694102854762953,0,1,3999.2
2019-01-02 02:00:00,2019,1,2,2,-7.8,-11.9,15.0,100.5,73.0,-14.033817171404742,0,1,3736.0
2019-01-02 03:00:00,2019,1,2,3,-8.1,-12.0,10.0,100.57,74.0,-12.991046833097354,0,1,3582.6
2019-01-02 04:00:00,2019,1,2,4,-8.2,-11.8,10.0,100.6,75.0,-13.110508520007432,0,1,3583.7000000000003
2019-01-02 05:00:00,2019,1,2,5,-8.7,-12.3,11.0,100.54,76.0,-14.036979120073848,0,1,3821.3
2019-01-02 06:00:00,2019,1,2,6,-8.6,-12.1,11.0,100.55,76.0,-13.916636753260352,0,1,4022.7
